checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
11,quantmod,4,-0.307,0.5889,0.7997,0.1057607076637308,0.1086,0.0904
11,rcmod,12,-0.3689,0.9447,0.8689,1.0080458821663548e-05,0.0453,0.0814
11,tmod,10,-0.3678,0.9904,0.8883,4.4668173339568996e-05,0.0461,0.095
11,vmod,16,-0.1381,0.6949,0.2677,0.04012633243122219,0.061,0.1745
11,xcomp,10,-0.4088,1.1553,0.8561,0.00012455215141776092,0.0593,0.1165
13,acomp,2,,,,,,
13,advcl,17,-0.1828,0.5702,0.5718,0.00044428235982450954,0.0408,0.0858
13,advmod,13,-0.1724,0.8757,0.5369,0.004387034797164901,0.0483,0.123
13,amod,7,-0.2227,0.8894,0.7264,0.01485368187759911,0.0611,0.0867
13,appos,11,-0.3319,1.0059,0.8098,0.00016055695570499158,0.0536,0.1142
13,aux,5,-0.3554,1.0278,0.9261,0.008727180430811854,0.058,0.0571
13,auxpass,3,0.0318,0.9632,0.9777,0.09552373653469116,0.0048,0.0022
13,cc,20,-0.1174,0.6616,0.4017,0.0026928651346250633,0.0338,0.1135
13,ccomp,25,-0.1335,0.9164,0.4031,0.0006516155287578378,0.0339,0.1124
13,conj,21,-0.2893,0.8749,0.8445,4.084188095192976e-09,0.0285,0.0824
13,cop,5,-0.3068,0.9824,0.9064,0.012507718756087699,0.0569,0.056
13,csubj,1,,,,,,
13,dep,15,-0.2721,0.8119,0.7486,3.1097338036360734e-05,0.0437,0.1191
13,det,8,-0.31,1.0414,0.8715,0.0006982359778172821,0.0486,0.0783
13,discourse,0,,,,,,
13,dobj,10,-0.3074,1.1414,0.6311,0.006047189607979464,0.0831,0.1713
13,expl,1,,,,,,
13,iobj,2,,,,,,
13,mark,15,-0.3444,1.07,0.9299,7.063149692569083e-09,0.0262,0.0715
13,mwe,1,,,,,,
13,neg,4,-0.3745,0.957,0.8492,0.0784764215743099,0.1116,0.0822
13,nn,6,-0.3885,0.8179,0.7858,0.018606103426247023,0.1014,0.1227
13,npadvmod,5,-0.283,1.0696,0.388,0.2617213519576354,0.2053,0.2021
13,nsubj,20,-0.2121,0.9361,0.7878,1.7962905057240572e-07,0.0259,0.0872
13,nsubjpass,11,-0.2971,1.1368,0.58,0.006462022596965205,0.0843,0.1558
13,num,5,-0.4322,1.0534,0.6916,0.0807992951279034,0.1666,0.164
13,number,6,-0.5436,0.8115,0.8472,0.009239466136441148,0.1154,0.1396
13,parataxis,9,-0.2259,0.7977,0.4773,0.039319760236338853,0.0894,0.1301
13,pcomp,5,-0.2706,0.9598,0.9035,0.013103751217497775,0.051,0.0503
13,pobj,8,-0.1822,1.0183,0.7316,0.006772601157148526,0.0451,0.0726
13,poss,7,-0.3906,0.9427,0.861,0.002579538865356146,0.0702,0.0995
13,possessive,2,,,,,,
13,preconj,2,,,,,,
13,predet,2,,,,,,
13,prep,21,-0.1017,0.7649,0.2792,0.013799788263821819,0.0375,0.1317
13,prt,2,,,,,,
13,quantmod,4,-0.3462,0.6496,0.8568,0.07435824426501891,0.1001,0.0833
